iter	Passed	Remaining
732	1534	559
733	1535	556
734	1536	554
735	1537	551
736	1539	549
737	1540	546
738	1541	544
739	1542	541
740	1543	539
741	1544	537
742	1546	534
743	1547	532
744	1548	529
745	1549	527
746	1550	525
747	1551	522
748	1552	520
749	1553	517
750	1554	515
751	1555	513
752	1556	510
753	1558	508
754	1559	506
755	1560	503
756	1561	501
757	1563	499
758	1564	496
759	1565	494
760	1566	491
761	1567	489
762	1568	487
763	1569	484
764	1570	482
765	1571	480
766	1573	477
767	1574	475
768	1575	473
769	1576	470
770	1577	468
771	1578	466
772	1579	463
773	1580	461
774	1581	459
775	1582	456
776	1583	454
777	1584	452
778	1585	449
779	1587	447
780	1588	445
781	1589	443
782	1590	440
783	1591	438
784	1592	436
785	1593	433
786	1594	431
787	1595	429
788	1596	427
789	1597	424
790	1600	423
791	1602	420
792	1603	418
793	1604	416
794	1605	413
795	1606	411
796	1607	409
797	1608	407
798	1609	404
799	1610	402
800	1611	400
801	1613	398
802	1614	396
803	1615	393
804	1617	391
805	1618	389
806	1619	387
807	1620	385
808	1621	382
809	1622	380
810	1623	378
811	1624	376
812	1625	373
813	1626	371
814	1627	369
815	1629	367
816	1630	365
817	1631	362
818	1632	360
819	1633	358
820	1635	356
821	1636	354
822	1637	352
823	1638	349
824	1639	347
825	1640	345
826	1641	343
827	1642	341
828	1643	339
829	1644	336
830	1646	334
831	1647	332
832	1648	330
833	1649	328
834	1650	326
835	1651	324
836	1652	321
837	1654	319
838	1655	317
839	1656	315
840	1657	313
841	1658	311
842	1659	309
843	1660	306
844	1661	304
845	1662	302
846	1663	300
847	1664	298
848	1665	296
849	1667	294
850	1668	292
851	1669	289
852	1670	287
853	1671	285
854	1672	283
855	1673	281
856	1675	279
857	1676	277
858	1677	275
859	1679	273
860	1680	271
861	1681	269
862	1682	267
863	1683	264
864	1684	262
865	1685	260
866	1686	258
867	1687	256
868	1689	254
869	1691	252
870	1692	250
871	1693	248
872	1694	246
873	1696	244
874	1697	242
875	1698	240
876	1699	238
877	1700	236
878	1701	234
879	1702	232
880	1704	230
881	1705	228
882	1706	226
883	1707	224
884	1709	222
885	1710	220
886	1711	218
887	1713	216
888	1714	214
889	1715	212
890	1716	210
891	1718	208
892	1719	206
893	1720	204
894	1721	202
895	1723	199
896	1724	197
897	1725	196
898	1727	194
899	1728	192
900	1729	190
901	1730	187
902	1731	185
903	1732	183
904	1733	182
905	1735	180
906	1736	178
907	1737	176
908	1739	174
909	1740	172
910	1741	170
911	1742	168
912	1743	166
913	1744	164
914	1745	162
915	1747	160
916	1748	158
917	1749	156
918	1751	154
919	1752	152
920	1753	150
921	1754	148
922	1755	146
923	1756	144
924	1757	142
925	1759	140
926	1760	138
927	1761	136
928	1762	134
929	1763	132
930	1765	130
931	1766	128
932	1767	126
933	1769	125
934	1770	123
935	1771	121
936	1772	119
937	1773	117
938	1774	115
939	1775	113
940	1776	111
941	1778	109
942	1779	107
943	1780	105
944	1782	103
945	1783	101
946	1784	99
947	1785	97
948	1786	96
949	1787	94
950	1789	92
951	1790	90
952	1791	88
953	1792	86
954	1794	84
955	1795	82
956	1796	80
957	1797	78
958	1799	76
959	1800	75
960	1801	73
961	1802	71
962	1803	69
963	1804	67
964	1806	65
965	1807	63
966	1808	61
967	1810	59
968	1811	57
969	1812	56
970	1814	54
971	1815	52
972	1816	50
973	1817	48
974	1818	46
975	1819	44
976	1820	42
977	1822	40
978	1823	39
979	1825	37
980	1826	35
981	1827	33
982	1828	31
983	1829	29
984	1830	27
985	1832	26
986	1833	24
987	1834	22
988	1835	20
989	1836	18
990	1838	16
991	1839	14
992	1840	12
993	1842	11
994	1843	9
995	1844	7
996	1845	5
997	1846	3
998	1848	1
999	1849	0
